,no_queries,time,columns
0,1000,3.5620641708374023,30
1,1000,3.1530845165252686,30
2,1000,5.597026109695435,30
3,1000,3.660562038421631,30
4,1000,3.839622735977173,30
5,1911,4.000026702880859,30
6,1911,3.63704514503479,30
7,1911,3.63700008392334,30
8,1911,4.638999700546265,30
9,1911,4.747515916824341,30
10,2822,4.172024250030518,30
11,2822,4.4309983253479,30
12,2822,4.904037952423096,30
13,2822,4.05699896812439,30
14,2822,3.8456027507781982,30
15,3733,3.8823888301849365,30
16,3733,4.234174013137817,30
17,3733,3.897648334503174,30
18,3733,4.501199007034302,30
19,3733,4.436578035354614,30
20,4644,4.684042930603027,30
21,4644,4.661025762557983,30
22,4644,4.4032227993011475,30
23,4644,4.638135671615601,30
24,4644,4.886629343032837,30
25,5556,4.305136203765869,30
26,5556,4.181132078170776,30
27,5556,4.844469785690308,30
28,5556,4.211097478866577,30
29,5556,4.2323057651519775,30
30,6467,3.7627108097076416,30
31,6467,4.283143043518066,30
32,6467,4.211616277694702,30
33,6467,5.440657138824463,30
34,6467,4.995106220245361,30
35,7378,5.4030022621154785,30
36,7378,4.526017665863037,30
37,7378,4.654102563858032,30
38,7378,4.671091079711914,30
39,7378,5.801021337509155,30
40,8289,4.822113990783691,30
41,8289,5.39654016494751,30
42,8289,5.4346959590911865,30
43,8289,4.610047101974487,30
44,8289,5.460583686828613,30
45,9201,4.2300310134887695,30
46,9201,4.103592395782471,30
47,9201,4.141602516174316,30
48,9201,4.250598192214966,30
49,9201,3.9925661087036133,30
50,1000,4.191278696060181,60
51,1000,3.859215259552002,60
52,1000,4.199967384338379,60
53,1000,3.760721445083618,60
54,1000,3.5855045318603516,60
55,1911,4.562556982040405,120
56,1911,5.2565813064575195,120
57,1911,4.596617937088013,120
58,1911,4.500092506408691,120
59,1911,4.34311580657959,120
60,2822,5.231042146682739,240
61,2822,5.464157581329346,240
62,2822,5.316064119338989,240
63,2822,5.428067684173584,240
64,2822,5.516064643859863,240
65,3733,6.64712929725647,480
66,3733,6.864122629165649,480
67,3733,6.697138786315918,480
68,3733,7.618150472640991,480
69,3733,6.649692535400391,480
70,4644,10.566240549087524,960
71,4644,10.942112922668457,960
72,4644,10.854208707809448,960
73,4644,10.889755249023438,960
74,4644,11.162151575088501,960
75,5556,16.063910961151123,1920
76,5556,16.004427433013916,1920
77,5556,15.488341569900513,1920
78,5556,16.001863479614258,1920
79,5556,16.393306732177734,1920
80,6467,31.27002787590027,3840
81,6467,31.94175386428833,3840
82,6467,30.918111085891724,3840
83,6467,31.414897441864014,3840
84,6467,30.16011619567871,3840
85,7378,64.36694622039795,7680
86,7378,64.70341897010803,7680
87,7378,64.42361545562744,7680
88,7378,63.887449502944946,7680
89,7378,63.84894323348999,7680
90,8289,125.50889849662781,15360
91,8289,126.30427742004395,15360
92,8289,130.97928094863892,15360
93,8289,141.66637897491455,15360
94,8289,135.22697615623474,15360
95,9201,293.8416976928711,30720
96,9201,258.2434313297272,30720
97,9201,267.5404279232025,30720
98,9201,270.65266966819763,30720
99,9201,267.4675829410553,30720
