,query_name,time
0,q1.sql,2.0595035552978516
1,q1.sql,2.047187089920044
2,q1.sql,2.0485951900482178
3,q10.sql,2.0531768798828125
4,q10.sql,2.05588698387146
5,q10.sql,2.055842161178589
6,q11.sql,2.063279628753662
7,q11.sql,2.0541725158691406
8,q11.sql,2.060744524002075
9,q12.sql,2.057253122329712
10,q12.sql,2.058201551437378
11,q12.sql,2.059786319732666
12,q13.sql,2.060098171234131
13,q13.sql,2.0587189197540283
14,q13.sql,2.0631184577941895
15,q14.sql,3.521953821182251
16,q2.sql,2.0416033267974854
17,q2.sql,2.0426039695739746
18,q2.sql,2.0430634021759033
19,q3.sql,2.0450539588928223
20,q3.sql,2.044624090194702
21,q3.sql,2.0457160472869873
22,q4.sql,2.0615906715393066
23,q4.sql,2.041746139526367
24,q4.sql,2.0435521602630615
25,q5.sql,2.0437376499176025
26,q5.sql,2.0426201820373535
27,q5.sql,2.0424139499664307
28,q6.sql,2.047308921813965
29,q6.sql,2.0278587341308594
30,q6.sql,2.0392513275146484
31,q7.sql,2.060999631881714
32,q7.sql,2.0493862628936768
33,q7.sql,2.0481441020965576
34,q8.sql,2.0618815422058105
35,q8.sql,2.0588231086730957
36,q8.sql,2.063809633255005
37,q9.sql,2.061124563217163
38,q9.sql,2.0544803142547607
39,q9.sql,2.0939407348632812
