,count,avg_add_to_cart_order,sum_add_to_cart_order
0,"(0.9521954557717489, 8323.756203581817)","(0.9578246392896781, 6.971294913916883)","(0.8668866886688669, 112986939.35668755)"
1,"(0.9521954557717489, 8323.756203581817)","(0.9578246392896781, 6.971294913916883)","(0.8668866886688669, 112986939.35668755)"
2,"(0.9521954557717489, 8323.756203581817)","(0.9578246392896781, 6.971294913916883)","(0.8668866886688669, 112986939.35668755)"
3,"(0.9521954557717489, 8323.756203581817)","(0.9578246392896781, 6.971294913916883)","(0.8668866886688669, 112986939.35668755)"
4,"(0.9521954557717489, 8323.756203581817)","(0.9578246392896781, 6.971294913916883)","(0.8668866886688669, 112986939.35668755)"
